Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4154637,WHS3_41,COUNTRY,AIA,AMR,YEAR,Americas,,,1984,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
4154823,WHS3_41,COUNTRY,SUR,AMR,YEAR,Americas,,,2013,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4155071,WHS3_41,COUNTRY,KEN,AFR,YEAR,Africa,,,1986,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
4160277,WHS3_41,COUNTRY,MNG,WPR,YEAR,Western Pacific,,,2003,,,,,,,1,1.0,,,,2025-07-14T16:36:19.017+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
4162040,WHS3_41,COUNTRY,PNG,WPR,YEAR,Western Pacific,,,2002,,,,,,,26,26.0,,,,2025-07-14T16:36:19.017+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4162375,WHS3_41,COUNTRY,HKG,,YEAR,,,,2000,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4162582,WHS3_41,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2022,,,,,,,88,88.0,,,,2025-07-14T16:36:19.017+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4163798,WHS3_41,COUNTRY,MEX,AMR,YEAR,Americas,,,1991,,,,,,,1,1.0,,,,2025-07-14T16:36:19.017+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
4163851,WHS3_41,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2008,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4165863,WHS3_41,COUNTRY,CHL,AMR,YEAR,Americas,,,2012,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
